txn_no,txn_date,txn_time,currency,amount,dc_flag,counterparty_name,counterparty_account,summary
20260827153541000118,2026-08-27,15:35:41,CNY,15500.00,D,某某办公用品有限公司,1109825657914744630,办公用品采购
20260827154341000119,2026-08-27,15:43:41,CNY,80100.00,C,上海某某信息技术有限公司,6222727281306776692,技术服务费
20260827155714000120,2026-08-27,15:57:14,CNY,20000.00,D,某某快递服务有限公司,1109670053565769734,物流费
20260827170727000121,2026-08-27,17:07:27,CNY,131100.00,D,某某办公用品有限公司,1109522925375987007,采购款
20260828093650000122,2026-08-28,09:36:50,CNY,266900.00,C,某某（武汉）软件有限公司,6222714823176357794,项目回款
20260828094109000123,2026-08-28,09:41:09,CNY,257200.00,C,某某（杭州）网络有限公司,6222426983859670257,货款
20260828101336000124,2026-08-28,10:13:36,CNY,10600.00,D,某某云计算有限公司,1109899242469923458,云服务费
20260828111931000125,2026-08-28,11:19:31,CNY,37900.00,C,某某（南京）数据服务有限公司,6222213711555284395,服务费
20260828123713000126,2026-08-28,12:37:13,CNY,78100.00,C,北京某某咨询有限公司,6222394115774316633,咨询费
20260828123902000127,2026-08-28,12:39:02,CNY,41000.00,D,某某会计师事务所,1109427829088136141,税费
20260828131633000128,2026-08-28,13:16:33,CNY,8000.00,D,李某某,1109997122524218375,差旅报销
20260828132908000129,2026-08-28,13:29:08,CNY,96200.00,D,某某广告传媒有限公司,1109684745576071598,广告费
20260828134420000130,2026-08-28,13:44:20,CNY,225300.00,C,上海某某电子商务有限公司,6222250046816238191,平台结算款
20260828144522000131,2026-08-28,14:45:22,CNY,8300.00,D,某某供应链管理有限公司,1109382813270108672,办公用品采购
20260828151135000132,2026-08-28,15:11:35,CNY,99900.00,C,某某（武汉）软件有限公司,6222746333967953388,软件开发费
20260828154229000133,2026-08-28,15:42:29,CNY,150000.00,D,某某银行股份有限公司,8110898756259165788,贷款还款
20260828163714000134,2026-08-28,16:37:14,CNY,23100.00,D,某某电力有限公司,1109396029955651708,电费
20260828172213000135,2026-08-28,17:22:13,CNY,40600.00,C,某某（杭州）网络有限公司,6222487817655210153,退款
20260828172835000136,2026-08-28,17:28:35,CNY,34500.00,D,某某物流有限公司,1109115045258739880,物流费
20260828175453000137,2026-08-28,17:54:53,CNY,68400.00,C,上海某某信息技术有限公司,6222733143620836204,技术服务费
